spec_id,outcome,t0,pre_start,date_min,fit_end,full_end,n_donors_requested,n_donors_used,pre_rmspe,post1_rmspe,covid_rmspe,post2_rmspe,ratio_post1,ratio_post2,avg_gap_post1,avg_gap_covid,avg_gap_post2,n_months_pre,n_months_post1,n_months_covid,n_months_post2,n_placebos,n_placebos_filtered,pre_rmspe_mult,pval_ratio_post1,pval_ratio_post2
S0_m2.0,theft_per_100k_coveredpop,2014-11-01,2010-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,4.729107002891481,13.138867921276878,35.31761619493268,8.175402538104553,2.7782978717209623,1.7287412894451748,11.680737518742944,-22.012223949426513,3.442063169356605,58,62,22,36,35,22,2.0,0.391304347826087,0.8695652173913043
S1_m2.0,theft_per_100k_coveredpop,2015-01-01,2010-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,4.79460121048368,13.055213612019763,34.72875369608318,8.516852982775818,2.7228987435849805,1.7763423085430832,11.623315599004279,-21.57363635543608,4.477378625330676,60,60,22,36,35,22,2.0,0.391304347826087,0.8695652173913043
S2_m2.0,theft_per_100k_coveredpop,2014-11-01,2012-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,4.968885717591635,13.940527257525762,35.16685678090544,8.627284795272635,2.805564074087777,1.736261464965318,12.555321144575618,-21.21461650369349,4.5134693964097234,34,62,22,36,35,25,2.0,0.4230769230769231,0.8846153846153846
N0_m2.0,violent_per_100k_coveredpop,2014-11-01,2010-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,0.88195049046954,1.2777463749772435,5.97817367947732,7.438370037733627,1.4487733594836347,8.433999547712812,0.5589163168447304,-3.184227415718853,6.990251827024832,58,62,22,36,35,15,2.0,0.8125,0.1875
S0_m1.5,theft_per_100k_coveredpop,2014-11-01,2010-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,4.729107002891481,13.138867921276878,35.31761619493268,8.175402538104553,2.7782978717209623,1.7287412894451748,11.680737518742944,-22.012223949426513,3.442063169356605,58,62,22,36,35,18,1.5,0.42105263157894735,0.8421052631578947
S1_m1.5,theft_per_100k_coveredpop,2015-01-01,2010-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,4.79460121048368,13.055213612019763,34.72875369608318,8.516852982775818,2.7228987435849805,1.7763423085430832,11.623315599004279,-21.57363635543608,4.477378625330676,60,60,22,36,35,18,1.5,0.42105263157894735,0.8421052631578947
S2_m1.5,theft_per_100k_coveredpop,2014-11-01,2012-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,4.968885717591635,13.940527257525762,35.16685678090544,8.627284795272635,2.805564074087777,1.736261464965318,12.555321144575618,-21.21461650369349,4.5134693964097234,34,62,22,36,35,22,1.5,0.4782608695652174,0.8695652173913043
N0_m1.5,violent_per_100k_coveredpop,2014-11-01,2010-01-01,2010-01-01,2019-12-01,2024-12-01,35,35,0.88195049046954,1.2777463749772435,5.97817367947732,7.438370037733627,1.4487733594836347,8.433999547712812,0.5589163168447304,-3.184227415718853,6.990251827024832,58,62,22,36,35,11,1.5,0.75,0.25
